name,url,industry,social page,location,founded,size
Jacksons Law Firm,http://www.jacksons-law.com,Law Practice,https://www.linkedin.com/company/736509,Preston Farm Industrial Estate. England. United Kingdom,1876,51-200
Finers Stephens Innocent LLP - Now Howard Kennedy,http://www.fsilaw.com,Law Practice,https://www.linkedin.com/company/81208,London. United Kingdom,,51-200
Wosskow Brown Solicitors,https://www.wosskowbrown.co.uk,Law Practice,https://www.linkedin.com/company/1309297,Sheffield. England. United Kingdom,1989,51-200
Wollens,https://wollens.co.uk/,Law Practice,https://www.linkedin.com/company/2904450,Torquay. England. United Kingdom,,51-200
4 Paper Buildings,http://www.4pb.com,Law Practice,https://www.linkedin.com/company/1427744,Temple. England. United Kingdom,,51-200
Fidler & Pepper Lawyers,http://www.fidler.co.uk,Law Practice,https://www.linkedin.com/company/700543,Sutton-in-Ashfield. England. United Kingdom,1888,51-200
Hegarty Solicitors,http://www.hegarty.co.uk,Law Practice,https://www.linkedin.com/company/1958386,Peterborough. England. United Kingdom,1974,51-200
The Dental Law Partnership,http://www.dentallaw.co.uk,Law Practice,https://www.linkedin.com/company/2309943,Nantwich. England. United Kingdom,2000,51-200
Furley Page Solicitors,http://www.furleypage.co.uk,Law Practice,https://www.linkedin.com/company/793495,Canterbury. England. United Kingdom,1725,51-200
Rosenblatt,http://www.rosenblatt-law.co.uk,Law Practice,https://www.linkedin.com/company/85097,Fleet Street. England. United Kingdom,1989,51-200
UNICAN,http://www.unicanclawassociates.com,Law Practice,https://www.linkedin.com/company/unican-citizenship,LONDON. 86-90 Paul Street,2003,51-200
Field Seymour Parkes LLP,https://www.fsp-law.com,Law Practice,https://www.linkedin.com/company/237111,Reading. England. United Kingdom,1987,51-200
rradar,http://www.rradar.com,Law Practice,https://www.linkedin.com/company/3020399,Hull. England. United Kingdom,2012,51-200
Clarkslegal LLP,https://www.clarkslegal.com,Law Practice,https://www.linkedin.com/company/58569,Reading. England. United Kingdom,1913,51-200
MOV8 Real Estate. Estate Agents and Solicitors,http://www.mov8realestate.com,Law Practice,https://www.linkedin.com/company/799301,Edinburgh. Scotland. United Kingdom,2007,51-200
18 St John Street Chambers,http://www.18sjs.com,Law Practice,https://www.linkedin.com/company/1481451,Manchester. England. United Kingdom,1973,51-200
Schofield Sweeney Solicitors,http://www.schofieldsweeney.co.uk,Law Practice,https://www.linkedin.com/company/206669,Bradford. England. United Kingdom,1998,51-200
Wannop & Fox,http://www.wannopfox.com,Law Practice,https://www.linkedin.com/company/847905,Chichester. England. United Kingdom,1891,51-200
Aaron & Partners LLP,http://www.aaronandpartners.com,Law Practice,https://www.linkedin.com/company/253298,Chester. England. United Kingdom,1983,51-200
DAS Law,http://www.daslaw.co.uk,Law Practice,https://www.linkedin.com/company/2858245,Bristol. England. United Kingdom,2003,51-200
Thackray Williams LLP,http://www.thackraywilliams.com,Law Practice,https://www.linkedin.com/company/550127,Bromley. England. United Kingdom,,51-200
LCF Barber Titleys,http://www.lcfbarbertitleys.co.uk,Law Practice,https://www.linkedin.com/company/335075,Harrogate. England. United Kingdom,1997,51-200
Chafes Hague Lambert Solicitors,http://www.chlsolicitors.co.uk,Law Practice,https://www.linkedin.com/company/417691,Alderley Edge. England. United Kingdom,,51-200
Joseph Hage Aaronson LLP,http://www.jha.com/,Law Practice,https://www.linkedin.com/company/5340459,London. England. United Kingdom,2013,51-200
Serjeants’​ Inn Chambers,http://www.serjeantsinn.com/,Law Practice,https://www.linkedin.com/company/2919848,Fleet Street. England. United Kingdom,,51-200
JB Leitch Ltd,http://www.jbleitch.co.uk,Law Practice,https://www.linkedin.com/company/1848955,Liverpool. England. United Kingdom,1997,51-200
Owen White & Catlin LLP,http://www.owenwhitecatlin.co.uk,Law Practice,https://www.linkedin.com/company/1208775,London. England. United Kingdom,,51-200
Harris Fowler Solicitors,http://www.harrisfowler.co.uk,Law Practice,https://www.linkedin.com/company/1391061,Taunton. England. United Kingdom,1994,51-200
9 St. John Street Chambers. Manchester,http://www.9sjs.com,Law Practice,https://www.linkedin.com/company/419526,Manchester. England. United Kingdom,,51-200
Murray Donald LLP,http://www.thorntons-law.co.uk,Law Practice,https://www.linkedin.com/company/1223172,St. Andrews. Scotland. United Kingdom,,51-200
Sheldon Davidson Solicitors,http://www.sds-solicitors.com,Law Practice,https://www.linkedin.com/company/2545699,Whitefield. England. United Kingdom,1997,51-200
GL Law,http://www.gl.law,Law Practice,https://www.linkedin.com/company/698236,Bristol. England. United Kingdom,2006,51-200
Seddons,http://www.seddons.co.uk,Law Practice,https://www.linkedin.com/company/129531,West End. England. United Kingdom,1988,51-200
Oakwood Solicitors Ltd,https://www.oakwoodsolicitors.co.uk/,Law Practice,https://www.linkedin.com/company/2645954,Leeds. England. United Kingdom,2001,51-200
Memery Crystal,http://www.memerycrystal.com,Law Practice,https://www.linkedin.com/company/104461,London. England. United Kingdom,1978,51-200
Russel + Aitken (Falkirk + Alloa),https://www.randa-fa.co.uk,Law Practice,https://www.linkedin.com/company/1884532,Falkirk. Scotland. United Kingdom,1818,51-200
Mewburn Ellis LLP,http://www.mewburn.com,Law Practice,https://www.linkedin.com/company/104875,Moorgate. England. United Kingdom,1867,51-200
Charles Lucas and Marshall,http://www.clmlaw.co.uk,Law Practice,https://www.linkedin.com/company/charles-lucas-and-marshall,RG14 5EU. Berkshire. Newbury. 28 Bartholomew Street.,1870,51-200
